Items,STATUS,current_Q,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice,Knows_ENISA,Knows_BSI,Knows_BKA,Knows_CERTl,Knows_Europol,Knows_CAZ,Knows_ProPK,Knows_Zitis,Knows_Athene,Knows_CISPA,Knows_HGI,Knows_CODE,Knows_Kastel,Knows_MPI,Knows_ACS,Knows_CERTb,Knows_CERTv,Knows_Heise,Knows_CyberMonth,Knows_PWDay,Knows_DigDay,Knows_CSECDay,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,PastHelp_BSI,PastHelp_CERTl,PastHelp_Police,PastHelp_Manuf,PastHelp_Provider,PastHelp_ConsOffice,PastHelp_EmployerIT,PastHelp_PCShop,PastHelp_PublicMed,PastHelp_PrivateMed,PastHelp_Forum,PastHelp_IntExperts,PastHelp_Influencer,PastHelp_Family,PastHelp_Colleague,PastHelp_Self,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack,Uses_AntivirusPC,Uses_AntivirusMobile,Uses_BackupPC,Uses_BackupMobile,Uses_FirewallPC,Uses_FirewallMobile,Uses_EncrMessenger,Uses_Spamfilter,Uses_FileEncryption,Uses_MailEncryption,Uses_AnonService,Uses_VPN,Uses_PWManager,Uses_2FA,Uses_OSUpdates,Uses_AppUpdates,Uses_Camcover,Uses_PWChange,Uses_DriveBackup,Uses_CloudBackup,Uses_SafeSearchEng,PastInfo_School,PastInfo_Fam,PastInfo_Press,PastInfo_Publication,PastInfo_TV,PastInfo_Radio,PastInfo_SecNewSites,PastInfo_SoftwareSites,PastInfo_SecSoftwareSites,PastInfo_Blog,PastInfo_MicroBlog,PastInfo_Multimedia,PastInfo_SocialMedia,PastInfo_Messenger,PastInfo_Newsletter,PastInfo_Podcast,PastInfo_WarningApps,PastInfo_InstalledSoftware,FutureInfo_School,FutureInfo_Fam,FutureInfo_Press,FutureInfo_Publication,FutureInfo_TV,FutureInfo_Radio,FutureInfo_SecNewSites,FutureInfo_SoftwareSites,FutureInfo_SecSoftwareSites,FutureInfo_Blog,FutureInfo_MicroBlog,FutureInfo_Multimedia,FutureInfo_SocialMedia,FutureInfo_Messenger,FutureInfo_Newsletter,FutureInfo_Podcast,FutureInfo_WarningApps,FutureInfo_InstalledSoftware,RelInfo_CurrentSpamCampaigns,RelInfo_NewMalware,RelInfo_SecGap,RelInfo_ImportantUpdate,RelInfo_DataBreakdown,RelInfo_BestPractice,RelInfo_SecBanking,RelInfo_SecShopping,RelInfo_SecAccounts,RelInfo_SecHomeNetwork,RelInfo_SecSmartHome,RelInfo_SecEmail,RelInfo_SecSocialMedia,RelInfo_SecPublicWifi,RelInfo_SecDevice,RelInfo_Checklist,RelInfo_Tutorial,RelInfo_TechSupport,RelInfo_RecHelp,Sum_institution_knowledge,Sum_Victim,Sum_Fear,Sum_SecurityLevel,Sum_Info_Width
PastVictim_Sidechannel,,,0.14,0.31,0.04,0.26,0.25,0.45,0.16,0.24,0.29,0.35,0.49,0.25,0.27,-0.02,0.15,0.02,0.03,0.4,0.07,0.03,0.02,0.06,0.13,0.24,0.17,0.25,0.26,0.33,0.19,0.35,0.51,0.33,0.15,0.48,0.22,0.45,0.42,0.55,0.54,0.58,0.59,0.53,0.49,0.41,0.52,0.47,0.53,0.42,0.55,0.39,0.54,0.47,0.51,0.65,0.76,0.83,1.0,0.07,0.59,0.57,0.64,0.49,0.54,0.65,0.69,0.66,0.7,0.71,0.58,0.37,0.46,0.16,0.22,0.28,0.28,0.28,0.36,0.44,0.46,0.24,0.35,0.52,0.04,0.16,0.02,0.22,0.26,0.33,0.29,0.37,-0.06,0.29,0.4,0.25,0.18,0.17,0.34,0.16,0.13,0.26,0.21,0.26,-0.07,0.17,0.24,0.2,-0.03,0.25,0.2,-0.11,0.34,0.36,0.3,0.17,0.26,0.13,-0.18,-0.07,0.23,0.05,0.15,0.16,0.39,0.27,0.26,0.25,0.36,0.22,0.32,0.35,0.35,0.32,0.44,0.45,0.32,0.33,0.34,0.4,0.43,0.39,0.15,-0.02,0.01,-0.08,0.1,-0.05,0.06,-0.07,0.04,-0.07,-0.04,0.01,-0.04,0.13,0.12,-0.02,0.11,-0.09,-0.16,0.06,-0.15,-0.09,-0.17,-0.15,0.03,-0.13,-0.15,-0.1,-0.1,0.06,-0.03,-0.04,-0.06,-0.17,-0.1,-0.12,-0.08,0.01,0.49,0.61,0.37,0.27,0.42
PastVictim_Spam,,,0.03,-0.03,0.07,-0.04,0.13,-0.01,-0.02,0.02,0.0,-0.02,-0.0,0.06,0.12,0.14,0.01,0.05,0.09,-0.11,-0.05,0.1,0.18,0.16,0.12,-0.07,0.08,0.04,-0.04,-0.08,-0.01,-0.14,0.0,0.06,0.15,-0.09,0.05,-0.06,-0.04,-0.07,-0.04,-0.05,-0.05,-0.09,-0.06,0.0,-0.07,-0.1,-0.14,-0.09,-0.09,-0.03,-0.07,-0.06,0.2,0.06,-0.06,0.03,0.07,1.0,0.12,0.09,0.11,0.22,0.11,0.01,0.17,0.18,0.06,0.05,0.19,-0.0,-0.07,0.07,0.11,-0.01,0.05,0.05,0.06,0.01,0.01,0.12,0.06,0.0,0.23,0.17,0.06,0.3,0.2,0.12,0.12,0.22,0.59,0.17,0.09,0.27,0.22,0.22,0.18,0.26,0.27,0.15,0.19,0.29,0.1,0.04,-0.01,0.08,0.08,0.06,-0.01,0.21,0.05,-0.03,-0.01,0.08,0.03,0.17,0.17,0.15,0.02,0.05,-0.04,0.04,-0.07,-0.0,0.1,0.02,-0.09,0.01,0.04,-0.1,0.05,0.02,-0.06,-0.04,0.05,-0.01,-0.01,-0.07,-0.04,-0.0,0.13,-0.01,-0.11,0.04,0.01,0.03,0.05,-0.03,0.01,-0.03,0.0,0.09,0.06,0.12,0.06,0.08,-0.01,0.07,-0.09,0.17,0.17,0.21,0.19,0.18,0.13,0.19,0.18,0.16,0.12,0.03,0.15,0.12,0.23,0.24,0.18,0.19,0.18,0.17,-0.01,0.36,0.25,0.1,0.01
PastVictim_CyBully,,,0.04,0.31,-0.0,0.2,0.18,0.35,0.11,0.13,0.22,0.26,0.34,0.23,0.16,-0.02,0.1,0.06,0.04,0.18,0.04,-0.02,0.06,0.16,0.06,0.14,0.14,0.19,0.06,0.11,0.15,0.14,0.38,0.19,0.12,0.31,0.19,0.3,0.35,0.38,0.37,0.35,0.42,0.39,0.35,0.3,0.35,0.31,0.34,0.23,0.38,0.27,0.35,0.35,0.4,0.49,0.56,0.56,0.59,0.12,1.0,0.62,0.56,0.24,0.41,0.46,0.47,0.52,0.61,0.55,0.49,0.23,0.31,0.16,0.22,0.21,0.18,0.2,0.25,0.37,0.32,0.13,0.23,0.23,0.12,0.13,0.09,0.18,0.27,0.28,0.18,0.3,-0.0,0.45,0.44,0.23,0.18,0.14,0.24,0.12,0.15,0.22,0.2,0.2,-0.11,0.1,0.1,0.17,-0.09,0.17,0.18,-0.0,0.23,0.26,0.25,0.2,0.21,0.16,-0.13,-0.09,0.14,-0.0,0.12,0.2,0.34,0.24,0.28,0.24,0.28,0.2,0.25,0.26,0.29,0.22,0.34,0.35,0.3,0.29,0.33,0.31,0.34,0.28,0.15,0.03,0.04,0.0,0.06,-0.02,0.12,-0.1,0.03,-0.06,-0.03,-0.02,0.02,0.09,0.15,-0.09,0.04,-0.05,-0.15,0.05,-0.01,0.03,-0.1,-0.03,0.09,-0.05,-0.09,-0.06,-0.06,0.08,-0.03,0.0,0.01,-0.09,-0.03,-0.02,-0.01,0.05,0.37,0.59,0.3,0.2,0.37
PastVictim_CyStalk,,,0.02,0.25,0.01,0.16,0.17,0.31,0.09,0.13,0.19,0.24,0.36,0.19,0.17,-0.06,0.08,0.08,0.11,0.18,0.06,0.04,-0.02,0.11,0.1,0.1,0.15,0.25,0.15,0.16,0.2,0.18,0.37,0.23,0.15,0.31,0.19,0.33,0.36,0.36,0.39,0.39,0.43,0.35,0.38,0.28,0.34,0.34,0.39,0.25,0.36,0.27,0.31,0.35,0.41,0.53,0.57,0.59,0.57,0.09,0.62,1.0,0.61,0.37,0.46,0.48,0.52,0.52,0.61,0.57,0.48,0.27,0.34,0.17,0.2,0.27,0.23,0.22,0.31,0.37,0.35,0.19,0.31,0.35,0.12,0.21,0.08,0.1,0.25,0.27,0.25,0.3,-0.04,0.29,0.43,0.26,0.21,0.09,0.26,0.15,0.16,0.21,0.21,0.18,-0.11,0.12,0.14,0.17,-0.04,0.24,0.22,-0.05,0.27,0.33,0.28,0.22,0.2,0.16,-0.09,-0.01,0.14,0.04,0.16,0.23,0.36,0.3,0.26,0.27,0.35,0.19,0.33,0.31,0.31,0.24,0.39,0.39,0.31,0.35,0.32,0.39,0.41,0.33,0.17,-0.02,-0.02,0.02,0.04,-0.07,0.09,0.01,0.08,-0.09,-0.05,0.03,0.02,0.13,0.14,-0.07,0.04,-0.03,-0.16,0.03,-0.02,-0.05,-0.14,-0.07,0.04,-0.11,-0.11,-0.04,-0.04,0.08,-0.04,-0.01,-0.01,-0.17,-0.02,-0.07,-0.09,0.0,0.38,0.57,0.33,0.25,0.41
PastVictim_IDTheft,,,0.1,0.27,0.05,0.18,0.15,0.36,0.16,0.13,0.22,0.25,0.36,0.26,0.21,-0.02,0.13,0.06,0.1,0.2,0.08,0.11,0.09,0.16,0.13,0.11,0.16,0.21,0.21,0.18,0.24,0.21,0.35,0.23,0.1,0.32,0.18,0.28,0.32,0.35,0.38,0.41,0.41,0.37,0.35,0.32,0.37,0.38,0.4,0.23,0.33,0.26,0.4,0.4,0.45,0.54,0.56,0.64,0.64,0.11,0.56,0.61,1.0,0.41,0.47,0.53,0.57,0.59,0.62,0.59,0.62,0.26,0.31,0.12,0.19,0.23,0.24,0.28,0.29,0.38,0.36,0.2,0.27,0.36,0.02,0.22,0.05,0.17,0.23,0.23,0.24,0.36,-0.0,0.33,0.37,0.35,0.21,0.19,0.28,0.16,0.19,0.26,0.2,0.25,-0.07,0.11,0.17,0.19,0.0,0.22,0.18,-0.08,0.26,0.33,0.26,0.24,0.22,0.13,-0.14,-0.08,0.11,0.04,0.16,0.2,0.31,0.27,0.24,0.19,0.32,0.14,0.27,0.3,0.34,0.22,0.34,0.37,0.24,0.3,0.36,0.34,0.33,0.29,0.18,0.02,-0.05,-0.09,0.15,-0.02,0.03,-0.08,0.1,-0.04,0.04,0.0,-0.01,0.1,0.14,-0.05,0.01,-0.06,-0.16,0.07,0.02,-0.0,-0.08,-0.05,0.06,-0.06,-0.07,-0.05,-0.03,0.09,-0.05,-0.01,0.01,-0.13,-0.07,-0.05,-0.04,0.01,0.36,0.61,0.34,0.24,0.37
PastVictim_Ransomware,,,0.09,0.16,-0.06,0.14,0.1,0.17,0.11,0.1,0.11,0.2,0.22,0.16,0.15,0.01,0.02,-0.01,0.06,0.19,0.03,0.01,0.11,0.07,0.15,0.06,0.08,0.13,0.15,0.09,0.11,0.17,0.19,0.17,0.09,0.2,0.04,0.23,0.22,0.3,0.31,0.28,0.29,0.27,0.26,0.25,0.22,0.23,0.26,0.19,0.25,0.18,0.2,0.22,0.4,0.41,0.44,0.48,0.49,0.22,0.24,0.37,0.41,1.0,0.35,0.43,0.47,0.44,0.39,0.5,0.43,0.2,0.15,0.05,0.12,0.14,0.14,0.18,0.23,0.26,0.23,0.19,0.19,0.22,0.03,0.09,-0.01,0.19,0.18,0.2,0.23,0.32,0.08,0.12,0.21,0.23,0.33,0.14,0.31,0.19,0.19,0.2,0.23,0.18,0.06,0.17,0.19,0.17,0.08,0.16,0.12,-0.02,0.18,0.27,0.19,0.17,0.14,0.1,-0.08,-0.03,0.09,0.05,0.11,0.06,0.15,0.14,0.12,0.13,0.19,0.11,0.19,0.16,0.1,0.17,0.23,0.22,0.14,0.25,0.22,0.25,0.22,0.16,0.13,-0.05,-0.07,-0.08,0.02,-0.0,-0.0,-0.0,0.04,-0.07,0.04,-0.01,0.05,0.12,0.11,0.05,-0.04,-0.03,0.01,0.05,-0.0,-0.07,-0.06,-0.09,-0.01,0.0,-0.03,-0.01,0.0,0.06,0.05,-0.02,-0.01,-0.03,-0.07,-0.06,-0.07,-0.03,0.23,0.49,0.26,0.21,0.22
PastVictim_ShopScam,,,0.01,0.21,-0.0,0.13,0.16,0.31,0.12,0.1,0.2,0.19,0.36,0.2,0.22,0.06,0.1,0.07,0.05,0.21,0.07,0.06,0.04,0.14,0.08,0.14,0.08,0.18,0.11,0.16,0.16,0.14,0.33,0.18,0.09,0.29,0.08,0.28,0.28,0.31,0.34,0.37,0.33,0.29,0.32,0.24,0.27,0.32,0.34,0.24,0.27,0.2,0.3,0.28,0.44,0.47,0.53,0.55,0.54,0.11,0.41,0.46,0.47,0.35,1.0,0.51,0.59,0.57,0.54,0.51,0.47,0.2,0.24,0.12,0.16,0.15,0.19,0.17,0.2,0.31,0.3,0.14,0.25,0.34,0.02,0.12,0.07,0.18,0.27,0.19,0.2,0.27,0.03,0.23,0.3,0.21,0.19,0.26,0.32,0.21,0.17,0.27,0.28,0.21,-0.0,0.13,0.18,0.18,0.08,0.21,0.15,-0.01,0.22,0.27,0.21,0.16,0.22,0.06,-0.08,-0.03,0.11,0.1,0.12,0.1,0.24,0.19,0.21,0.2,0.26,0.19,0.18,0.26,0.25,0.2,0.26,0.29,0.22,0.24,0.21,0.26,0.28,0.23,0.11,-0.06,-0.01,-0.06,0.06,-0.04,0.01,0.05,0.01,-0.04,-0.02,0.03,-0.07,0.08,0.13,0.03,0.02,-0.04,-0.13,0.05,-0.04,-0.05,-0.04,-0.01,0.03,-0.06,-0.05,-0.03,-0.06,-0.01,-0.0,-0.02,-0.01,-0.09,-0.0,-0.05,-0.03,0.03,0.28,0.47,0.28,0.23,0.29
PastVictim_Scareware,,,0.1,0.28,0.01,0.22,0.21,0.41,0.17,0.25,0.32,0.28,0.36,0.23,0.26,0.05,0.13,0.05,0.05,0.3,0.12,0.01,0.0,0.14,0.13,0.16,0.17,0.28,0.22,0.17,0.22,0.27,0.37,0.29,0.17,0.42,0.2,0.37,0.38,0.43,0.44,0.46,0.46,0.43,0.41,0.35,0.39,0.43,0.5,0.35,0.44,0.34,0.4,0.43,0.52,0.65,0.65,0.63,0.65,0.01,0.46,0.48,0.53,0.43,0.51,1.0,0.72,0.66,0.59,0.62,0.54,0.31,0.37,0.1,0.2,0.25,0.23,0.22,0.32,0.39,0.38,0.17,0.25,0.35,-0.01,0.1,0.06,0.16,0.21,0.19,0.19,0.3,-0.13,0.16,0.27,0.18,0.23,0.12,0.32,0.11,0.11,0.21,0.17,0.13,0.01,0.15,0.21,0.13,0.06,0.19,0.18,-0.11,0.28,0.33,0.23,0.2,0.19,0.11,-0.13,-0.08,0.13,0.08,0.15,0.16,0.32,0.25,0.22,0.24,0.31,0.22,0.31,0.31,0.31,0.28,0.38,0.42,0.27,0.32,0.35,0.34,0.39,0.31,0.21,-0.05,-0.03,-0.1,-0.0,-0.04,0.09,-0.03,0.02,-0.06,-0.04,-0.0,-0.01,0.11,0.17,-0.0,0.03,-0.06,-0.04,0.05,-0.05,-0.08,-0.14,-0.09,0.03,-0.13,-0.16,-0.09,-0.09,0.04,-0.11,-0.09,-0.07,-0.13,-0.08,-0.12,-0.05,-0.0,0.4,0.56,0.26,0.23,0.39
PastVictim_Spyware,,,0.06,0.22,0.02,0.2,0.21,0.34,0.16,0.19,0.28,0.26,0.36,0.23,0.35,0.1,0.15,0.17,0.13,0.26,0.06,0.07,0.09,0.15,0.2,0.13,0.25,0.28,0.19,0.2,0.25,0.22,0.31,0.31,0.23,0.34,0.2,0.37,0.33,0.39,0.39,0.4,0.41,0.38,0.37,0.36,0.32,0.35,0.41,0.33,0.38,0.27,0.39,0.39,0.63,0.6,0.6,0.65,0.69,0.17,0.47,0.52,0.57,0.47,0.59,0.72,1.0,0.71,0.68,0.64,0.56,0.26,0.34,0.12,0.17,0.22,0.21,0.23,0.29,0.38,0.41,0.16,0.23,0.38,0.07,0.17,0.15,0.28,0.33,0.31,0.26,0.37,-0.04,0.28,0.37,0.26,0.22,0.21,0.32,0.29,0.19,0.31,0.21,0.28,0.08,0.2,0.27,0.16,0.15,0.26,0.22,-0.02,0.34,0.36,0.32,0.25,0.24,0.16,-0.03,0.0,0.22,0.08,0.14,0.19,0.32,0.27,0.24,0.3,0.34,0.21,0.32,0.33,0.31,0.3,0.37,0.39,0.26,0.27,0.33,0.37,0.36,0.34,0.29,0.0,-0.06,-0.18,0.03,-0.02,0.08,0.04,0.07,-0.08,-0.04,0.03,-0.0,0.13,0.17,-0.02,0.1,-0.13,-0.03,0.13,0.06,0.08,-0.02,0.08,0.13,-0.02,-0.02,0.06,0.05,0.1,0.06,0.04,0.11,-0.0,0.04,0.01,0.03,0.09,0.39,0.68,0.35,0.32,0.41
PastVictim_Phishing,,,0.09,0.2,0.01,0.17,0.22,0.34,0.11,0.17,0.3,0.27,0.33,0.22,0.29,0.01,0.1,0.14,0.14,0.15,0.01,0.02,0.12,0.14,0.18,0.05,0.15,0.22,0.12,0.12,0.15,0.12,0.28,0.26,0.18,0.35,0.2,0.35,0.28,0.36,0.37,0.34,0.43,0.39,0.35,0.32,0.32,0.33,0.39,0.28,0.35,0.23,0.34,0.33,0.59,0.58,0.62,0.61,0.66,0.18,0.52,0.52,0.59,0.44,0.57,0.66,0.71,1.0,0.65,0.65,0.59,0.18,0.29,0.14,0.19,0.18,0.14,0.16,0.21,0.3,0.31,0.14,0.21,0.33,0.04,0.13,0.08,0.28,0.38,0.38,0.35,0.46,0.09,0.33,0.4,0.3,0.28,0.21,0.36,0.3,0.34,0.32,0.3,0.32,-0.01,0.14,0.23,0.19,0.03,0.21,0.18,-0.05,0.27,0.32,0.27,0.22,0.22,0.15,-0.11,-0.05,0.2,0.09,0.13,0.18,0.32,0.21,0.22,0.24,0.26,0.17,0.32,0.27,0.23,0.26,0.34,0.38,0.28,0.3,0.3,0.34,0.38,0.26,0.22,-0.01,-0.02,-0.07,0.01,0.04,0.15,0.0,0.04,-0.03,-0.03,0.03,-0.05,0.09,0.06,0.0,0.13,-0.18,-0.08,0.04,-0.04,-0.03,-0.12,-0.02,0.05,-0.08,-0.1,-0.07,-0.03,0.1,-0.04,-0.02,-0.04,-0.17,-0.12,-0.15,-0.07,0.02,0.36,0.63,0.36,0.27,0.36
PastVictim_Doxing,,,0.07,0.33,0.0,0.21,0.28,0.38,0.23,0.19,0.27,0.29,0.43,0.22,0.27,-0.04,0.15,0.11,0.07,0.26,0.04,0.01,-0.02,0.11,0.05,0.2,0.18,0.25,0.23,0.23,0.24,0.27,0.45,0.31,0.18,0.45,0.22,0.42,0.42,0.45,0.48,0.51,0.54,0.5,0.47,0.41,0.46,0.45,0.49,0.4,0.47,0.38,0.46,0.45,0.5,0.64,0.65,0.72,0.7,0.06,0.61,0.61,0.62,0.39,0.54,0.59,0.68,0.65,1.0,0.69,0.55,0.26,0.34,0.13,0.22,0.27,0.26,0.25,0.32,0.42,0.41,0.18,0.3,0.44,0.05,0.15,0.08,0.18,0.34,0.31,0.27,0.33,-0.08,0.3,0.41,0.27,0.17,0.16,0.3,0.11,0.15,0.34,0.25,0.21,-0.1,0.16,0.21,0.15,-0.05,0.22,0.17,-0.13,0.28,0.34,0.31,0.21,0.2,0.1,-0.17,-0.08,0.15,0.07,0.18,0.19,0.37,0.29,0.27,0.26,0.37,0.19,0.29,0.35,0.31,0.33,0.37,0.41,0.29,0.37,0.3,0.36,0.42,0.35,0.18,0.01,0.02,-0.04,0.11,-0.05,0.1,-0.03,0.02,-0.05,-0.07,-0.01,-0.02,0.13,0.06,-0.1,0.15,-0.08,-0.13,0.07,-0.06,-0.02,-0.17,-0.05,0.04,-0.14,-0.15,-0.08,-0.09,0.0,-0.08,-0.07,-0.04,-0.21,-0.06,-0.12,-0.11,-0.03,0.47,0.61,0.36,0.23,0.42
PastVictim_SocEng,,,0.09,0.36,-0.01,0.24,0.2,0.4,0.18,0.21,0.28,0.25,0.46,0.24,0.31,0.03,0.12,0.11,0.12,0.32,0.07,0.11,0.05,0.16,0.13,0.17,0.14,0.26,0.24,0.24,0.28,0.27,0.44,0.3,0.13,0.38,0.19,0.37,0.41,0.44,0.5,0.49,0.52,0.49,0.48,0.38,0.46,0.45,0.5,0.38,0.47,0.31,0.44,0.49,0.57,0.64,0.71,0.75,0.71,0.05,0.55,0.57,0.59,0.5,0.51,0.62,0.64,0.65,0.69,1.0,0.5,0.28,0.32,0.17,0.19,0.3,0.21,0.24,0.35,0.42,0.42,0.23,0.35,0.46,0.09,0.15,0.08,0.15,0.33,0.32,0.26,0.39,-0.06,0.26,0.34,0.22,0.22,0.16,0.32,0.19,0.13,0.33,0.32,0.19,-0.02,0.22,0.24,0.18,0.04,0.26,0.24,-0.14,0.25,0.31,0.28,0.26,0.26,0.05,-0.16,-0.1,0.19,0.08,0.19,0.16,0.33,0.32,0.27,0.27,0.35,0.23,0.32,0.35,0.3,0.3,0.4,0.43,0.28,0.36,0.35,0.39,0.46,0.36,0.22,-0.05,-0.08,-0.13,0.01,-0.03,0.1,-0.06,0.05,-0.0,0.04,-0.01,0.02,0.13,0.07,-0.09,0.12,-0.07,-0.03,0.04,-0.04,-0.04,-0.14,-0.04,0.08,-0.11,-0.15,-0.09,-0.04,0.07,-0.06,-0.04,-0.01,-0.12,-0.07,-0.07,-0.03,0.03,0.43,0.63,0.35,0.27,0.43
PastVictim_SocMedHack,,,0.11,0.25,0.1,0.21,0.21,0.29,0.09,0.19,0.21,0.25,0.33,0.26,0.16,0.05,0.16,0.04,0.05,0.25,0.1,0.07,0.12,0.17,0.11,0.14,0.13,0.19,0.17,0.22,0.21,0.18,0.34,0.26,0.12,0.32,0.21,0.3,0.27,0.35,0.33,0.32,0.37,0.34,0.35,0.29,0.34,0.35,0.38,0.2,0.33,0.2,0.38,0.34,0.5,0.59,0.54,0.61,0.58,0.19,0.49,0.48,0.62,0.43,0.47,0.54,0.56,0.59,0.55,0.5,1.0,0.28,0.26,0.13,0.19,0.19,0.21,0.2,0.25,0.27,0.27,0.13,0.21,0.25,0.06,0.17,-0.0,0.2,0.24,0.26,0.22,0.33,0.07,0.26,0.35,0.26,0.18,0.17,0.3,0.19,0.19,0.23,0.21,0.35,0.01,0.17,0.18,0.22,0.03,0.23,0.13,-0.03,0.21,0.24,0.19,0.23,0.21,0.16,-0.08,-0.0,0.11,0.06,0.16,0.21,0.2,0.22,0.21,0.22,0.25,0.2,0.33,0.18,0.28,0.22,0.23,0.32,0.25,0.34,0.33,0.27,0.28,0.25,0.2,-0.04,-0.07,0.01,0.1,0.03,0.17,-0.1,0.01,-0.07,-0.03,0.03,-0.0,0.1,0.15,-0.07,-0.02,-0.02,-0.12,0.14,-0.0,0.06,-0.05,0.02,0.12,-0.04,-0.04,-0.03,-0.0,0.1,0.03,0.07,0.06,-0.08,-0.06,-0.01,0.01,0.08,0.34,0.65,0.32,0.24,0.34
PastHelp_BSI,,,0.11,0.25,0.06,0.24,0.23,0.22,0.1,0.11,0.2,0.25,0.32,0.16,0.13,0.05,0.21,0.06,0.05,0.26,0.06,0.13,0.01,0.11,0.11,0.17,0.13,0.15,0.29,0.27,0.1,0.24,0.39,0.46,0.37,0.42,0.29,0.47,0.4,0.39,0.43,0.41,0.4,0.38,0.41,0.44,0.37,0.4,0.41,0.34,0.39,0.35,0.39,0.36,0.14,0.31,0.38,0.39,0.37,-0.0,0.23,0.27,0.26,0.2,0.2,0.31,0.26,0.18,0.26,0.28,0.28,1.0,0.76,0.52,0.5,0.51,0.57,0.44,0.41,0.47,0.51,0.42,0.5,0.41,0.18,0.34,0.01,0.02,0.16,0.15,0.16,0.2,-0.09,0.09,0.12,0.11,0.11,0.06,0.2,0.01,-0.03,0.1,0.15,0.06,0.11,0.2,0.28,0.21,0.07,0.24,0.29,-0.01,0.25,0.31,0.22,0.21,0.18,0.14,0.07,0.12,0.23,0.14,0.23,0.18,0.33,0.28,0.22,0.32,0.36,0.33,0.32,0.35,0.33,0.3,0.32,0.38,0.22,0.25,0.25,0.32,0.3,0.32,0.26,-0.02,0.01,0.02,-0.04,0.02,0.07,0.01,-0.03,-0.03,-0.03,0.01,-0.06,0.02,0.03,-0.01,0.04,0.02,0.04,0.09,-0.01,0.03,0.01,0.03,0.07,-0.05,-0.07,0.0,0.02,0.09,-0.02,-0.04,0.08,-0.02,0.06,-0.01,0.02,0.09,0.49,0.32,0.23,0.31,0.41
PastHelp_CERTl,,,0.11,0.29,0.09,0.28,0.3,0.28,0.13,0.13,0.26,0.31,0.34,0.21,0.16,-0.02,0.23,0.02,0.04,0.35,0.13,0.07,0.0,0.11,0.1,0.2,0.12,0.21,0.24,0.37,0.17,0.37,0.45,0.41,0.33,0.49,0.33,0.49,0.44,0.47,0.49,0.44,0.47,0.42,0.48,0.43,0.45,0.46,0.49,0.4,0.48,0.4,0.48,0.45,0.21,0.36,0.46,0.47,0.46,-0.07,0.31,0.34,0.31,0.15,0.24,0.37,0.34,0.29,0.34,0.32,0.26,0.76,1.0,0.44,0.44,0.42,0.52,0.43,0.47,0.51,0.56,0.38,0.49,0.51,0.14,0.3,0.03,-0.02,0.13,0.18,0.2,0.21,-0.17,0.11,0.18,0.11,0.07,0.01,0.18,0.01,-0.04,0.08,0.11,0.03,0.04,0.17,0.27,0.21,-0.0,0.23,0.29,-0.08,0.33,0.36,0.27,0.25,0.25,0.21,-0.02,0.06,0.26,0.1,0.18,0.25,0.42,0.28,0.28,0.31,0.38,0.33,0.32,0.37,0.31,0.31,0.38,0.42,0.29,0.3,0.32,0.33,0.38,0.34,0.22,0.0,0.05,-0.04,-0.03,0.01,0.12,-0.02,-0.02,-0.03,-0.02,0.05,-0.02,0.02,0.07,-0.04,0.07,-0.03,-0.03,0.1,-0.03,0.01,-0.04,-0.02,0.09,-0.1,-0.05,-0.02,0.0,0.09,-0.04,-0.04,0.02,-0.09,-0.01,-0.06,0.0,0.11,0.5,0.31,0.23,0.31,0.43
